GEOID,Total population,White,Black,Asian,Hispanic
36005021502,6772,17,1491,0,5129
36005021700,5220,147,2122,153,2518
36005021800,6154,223,869,205,4607
36005021900,963,17,131,25,790
36005022101,4030,26,547,175,2971
36005022102,5995,136,541,22,5239
36005022300,5553,104,732,10,4545
36005022403,3061,459,399,29,2061
36005022404,4736,521,999,320,2650
36005022500,8818,564,1267,47,6908
36005022701,4831,72,1764,99,2755
36005022702,1451,0,343,5,1035
36005022703,1991,115,408,31,1422
36005022800,6207,1053,1180,648,3019
36005022901,5530,105,2125,62,2897
36005022902,3710,60,710,39,2837
36005023100,1696,70,804,0,821
36005023200,2517,828,123,239,1189
36005023301,4177,9,1191,42,2844
36005023302,3982,24,706,21,3031
36005023600,1602,225,225,145,987
36005023704,3821,39,570,0,3071
36005023900,8489,32,1686,121,6306
36005024100,6921,354,1981,137,4268
36005024300,5575,88,1236,100,4028
36005024400,2512,789,37,155,1416
36005024501,4475,116,871,0,3444
36005024502,3848,82,834,0,2932
36005024600,2065,744,130,332,765
36005024800,3370,1566,234,202,1316
36005025000,2601,1110,2,282,1175
36005025100,6462,210,988,819,4245
36005025200,2561,938,163,314,1084
36005025300,6313,20,481,117,5397
36005025400,2183,1163,26,119,823
36005025500,7728,228,626,1,6748
36005026100,2114,150,906,95,916
36005026300,7124,246,816,10,5935
36005026400,6643,1464,587,460,3987
36005026500,7505,30,570,459,6215
36005026601,3305,755,71,101,2327
36005026602,5033,2038,499,160,2336
36005026701,3639,77,784,385,2368
36005026702,8183,286,532,0,7353
36005027300,7798,588,1497,100,5531
36005027700,4338,393,437,81,3343
36005027900,8486,901,1137,504,5562
36005028100,3757,1090,865,131,1584
36005028600,960,394,64,225,277
36005028700,3565,729,113,134,2429
36005028800,3144,1918,213,449,564
36005028900,4530,863,366,147,3083
36005029500,4484,1722,512,461,1484
36005029600,1947,570,223,188,938
36005030000,6612,1978,529,859,3185
36005030100,1578,898,176,35,379
36005030201,3912,106,2456,0,1258
36005030701,5718,3446,576,212,1203
36005030900,4480,3203,308,111,710
36005031000,4507,1607,650,923,1299
36005031200,1874,458,330,243,757
36005031400,2272,557,303,165,1237
36005031600,1965,671,163,244,602
36005031800,2149,681,612,237,605
36005031900,211,104,45,3,57
36005032300,4789,2837,394,347,991
36005032400,3326,212,690,545,1743
36005032600,3643,1333,389,592,1246
36005032800,4140,535,794,493,2203
36005033000,5575,1597,1441,80,2016
36005033201,5334,998,434,111,3739
36005033202,3775,329,777,288,2280
36005033601,4925,229,2151,172,2340
36005033602,1356,65,516,0,775
36005033801,2256,99,691,15,1091
36005033802,1713,119,614,110,849
36005034000,5775,314,2358,315,2644
36005034200,1665,168,1031,60,376
36005034300,1899,638,307,37,819
36005034400,2165,87,1166,73,800
36005034800,6196,174,2739,319,2928
36005035600,2206,30,1728,8,366
36005035900,2445,49,497,40,1807
36005036000,3337,247,2076,87,908
36005036300,7220,309,1386,9,5402
36005036400,2641,6,2402,0,192
36005036501,4234,21,2307,0,1811
36005036800,2365,19,1768,0,348
36005036901,2151,22,524,0,1599
36005036902,2212,53,854,0,1305
36005037000,2479,38,1631,212,433
36005037100,4176,108,1030,0,2997
36005037200,2142,34,822,81,1039
36005037300,6697,28,2557,0,4111
36005037400,3968,55,1520,53,2266
36005037504,3641,94,878,0,2461
36005037900,6137,50,3222,89,2730
36005038000,5035,158,2869,40,1810
36005038100,7707,69,1534,31,5639
36005038200,3001,37,2098,55,778
36005038301,5384,81,1138,116,4020
36005038303,3775,17,1686,0,1982
36005038600,9240,56,6559,11,2137
36005038700,3582,327,723,91,2374
36005038800,2881,98,2135,0,584
36005039000,3108,77,2120,18,472
36005039100,7082,638,1111,154,5078
36005039200,1717,21,1201,17,452
36005039400,5254,77,2837,0,2326
36005039600,4522,143,2894,9,1361
36005039800,4209,12,3105,0,977
36005040302,5331,93,303,124,4811
36005040303,4216,58,525,73,3258
36005040304,3641,21,227,245,3110
36005040400,3264,4,2926,0,312
36005040501,3959,35,224,128,3540
36005040502,7399,49,1706,274,5370
36005040600,3997,91,2887,28,725
36005040701,3136,100,281,84,2671
36005040702,7137,215,886,673,5232
36005040800,4994,315,2057,38,2167
36005040900,3272,833,1952,79,349
36005041500,6089,589,591,353,4538
36005041900,6229,708,638,1195,3032
36005042000,4512,99,2139,205,1962
36005042100,5845,662,569,579,3979
36005042200,2873,119,2051,35,492
36005042300,4395,428,719,351,2820
36005042400,2512,67,1623,67,694
36005042800,2099,45,1441,0,179
36005042902,4165,163,1327,88,2571
36005043000,3565,48,2201,244,471
36005043101,5844,240,1064,914,3532
36005043400,3880,16,2289,32,1152
36005043600,2214,124,1287,139,518
36005044200,4122,8,3167,0,839
36005044400,4725,105,3191,199,882
36005044800,2231,33,1965,0,87
36005044901,1995,1434,96,30,405
36005044902,2160,1475,101,61,464
36005045102,2159,1522,82,56,435
36005045600,3637,380,2058,0,1153
